num,pron,char,main_mean,tot_stk,main_elem,disused,rad_stk,rad,rad_elem,detail_mean,meaning,stk_info,rad_id,no_rad_stk,rad_mean
1,가,家,집,10,木,FALSE,3,宀,木,집; 남편; 아내; 용한 이; 대부; 살다,집 【가】,총 10획 (부 7획),40,7,갓머리면
2,가,佳,아름다울,8,火,FALSE,2,人(亻),火,아름답다; 좋다,아름다울 【가】,총 8획 (부 6획),9,6,사람인
3,가,街,거리,12,火,FALSE,6,行,火,거리(네거리 한길 큰 거리),거리 【가】,총 12획 (부 6획),144,6,다닐행
4,가,可,옳을,5,水,FALSE,3,口,水,옳다; 듣다; 가히; 쯤,옳을 【가】,총 5획 (부 2획),30,2,입구
5,가,歌,노래,14,火,FALSE,4,欠,火,노래(하다); 노래를 짓다,노래 【가】,총 14획 (부 10획),76,10,하품흠
6,가,加,더할,5,土,FALSE,2,力,土,더하다; 더하여지다; 업신여기다; 입다; 쓸다; 치다; 있다; 미치다; 가법; 더욱 ↔減,더할 【가】,총 5획 (부 3획),19,3,힘력
7,가,價,값,15,火,FALSE,2,人(亻),火,값(금 물건 값; 물건이나 재화의 중요한 정도),값 【가】,총 15획 (부 13획),9,13,사람인
8,가,假,거짓,11,火,FALSE,2,人(亻),火,거짓; 가령; 빌다; 빌리다; 용서하다; 잠시; 아름답다,거짓 【가】,총 11획 (부 9획),9,9,사람인
9,가,架,시렁,9,木,FALSE,4,木,木,시렁; 횃대; 건너지르다; 얽다; 능가하다,시렁 【가】,총 9획 (부 5획),75,5,나무목
10,가,暇,겨를,13,火,FALSE,4,日,火,겨를; 틈; 한가하다(閒),겨를 【가】,총 13획 (부 9획),72,9,날일
11,가,嘉,아름다울,14,水,FALSE,3,口,水,아름답다; 기리다; 경사스럽다; 맛 좋다; 기뻐하다; 즐기다,아름다울 【가】,총 14획 (부 11획),30,11,입구
12,가,嫁,시집갈,13,土,FALSE,3,女,土,시집 가다; 시집 보내다; 가다,시집갈 【가】,총 13획 (부 10획),38,10,계집녀
13,가,稼,심을,15,木,FALSE,5,禾,木,심다; 곡식; 농사,심을 【가】,총 15획 (부 10획),115,10,벼화
14,가,賈,값,13,金,FALSE,7,貝,金,값(價),값 【가】,총 13획 (부 6획),154,6,조개패
